ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH,ID,Loc,Customer,Valid,Valid_CO2,bkps
2023-06-22 00:36:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:36:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:06,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:07,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:08,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:09,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,1,1,0
2023-06-22 00:37:10,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,1,1,1
2023-06-22 00:37:11,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,1,1,0
